,player,nationality,team,position,birth_year,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries_x,progressive_passes_x,progressive_passes_received_x,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won,take_ons_tackled,carries,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received_y,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,price,skill/pot
35,Bruno Fernandes,POR,Manchester Utd,MF,31,33,32,2758.0,8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,,,,,30.1,0.82,0.06,21.9,1522,75.2,26743,86.7,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,27,32,1379,3436,65,60,11,38,37,1665,118,26,37,2,172,192,21,28,42.9,€54.8M,79.8/79.9
36,Bruno Guimarães,BRA,Newcastle Utd,MF,28,35,35,3002.0,4,6,6,0,3.9,5.8,54,247,81,0.12,0.18,0.12,0.17,,,,,25.6,0.30,0.10,16.3,1334,82.1,22040,90.6,87.5,56.8,47,162,70,6,247,121,3.63,17,0.51,75,43,64,33,34,9,25,27,2013,75,409,1035,592,74,75,34,24,1298,3108,54,40,12,53,73,1507,81,57,100,2,25,167,18,17,51.4,€83.2M,80.9/82.6
37,Bryan Mbeumo,CMR,Brentford,FW,26,35,35,3144.0,18,6,3,0,10.8,8.0,117,128,318,0.52,0.17,0.31,0.23,,,,,42.3,0.86,0.18,17.7,809,66.6,12846,79.1,72.0,37.0,66,55,55,16,128,134,3.84,18,0.52,45,29,31,13,24,3,21,14,1633,54,232,516,914,149,99,46,41,983,3230,117,63,68,99,40,1108,318,23,43,11,182,143,34,69,33.0,€57.2M,81.2/85.9
38,Bukayo Saka,ENG,Arsenal,"FW,MF",24,22,18,1539.0,6,10,3,0,6.3,6.8,82,62,233,0.35,0.58,0.37,0.40,,,,,34.5,1.17,0.09,15.5,488,75.2,7524,90.1,73.1,47.7,50,13,32,10,62,102,5.97,22,1.29,24,13,22,11,21,0,21,3,875,6,52,192,639,146,84,37,35,558,2133,82,28,45,29,38,635,233,14,38,5,110,65,8,19,29.6,€101.3M,87.2/96.9
39,Caleb Okoli,ITA,Leicester City,DF,24,18,12,1124.0,1,0,4,0,0.6,0.0,3,32,2,0.08,0.00,0.05,0.00,,,,,50.0,0.16,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,32,4,0.32,0,0.00,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,0,0,467,1106,3,6,0,10,2,483,2,16,9,0,1,44,23,21,52.3,€16.7M,64.3/73.0
40,Callum Hudson-Odoi,ENG,Nott'ham Forest,"FW,MF",25,29,25,2152.0,5,2,2,0,2.5,2.7,127,66,186,0.21,0.08,0.10,0.11,,,,,45.9,0.71,0.14,18.3,674,82.2,9918,92.1,81.8,51.2,44,36,31,11,66,94,3.93,11,0.46,20,14,17,6,11,0,11,13,1005,15,111,324,595,72,62,36,18,626,3335,127,61,45,44,23,764,186,12,22,8,75,91,3,10,23.1,€30.2M,81.4/86.4
41,Calvin Bassey,NGA,Fulham,DF,26,33,32,2894.0,1,0,7,0,1.0,0.1,36,107,15,0.03,0.00,0.03,0.00,,,,,28.6,0.12,0.07,15.3,1822,89.8,32168,95.1,94.0,61.5,3,143,2,0,107,23,0.72,3,0.09,52,33,30,9,37,17,20,18,2317,308,1127,1090,124,19,31,14,10,1487,4539,36,18,5,32,8,1620,15,26,31,2,7,156,40,31,56.3,€29.9M,73.3/79.3
42,Cameron Archer,ENG,Southampton,FW,24,32,13,1373.0,2,0,0,0,5.1,0.4,19,14,64,0.13,0.00,0.33,0.02,,,,,33.3,0.59,0.07,13.1,189,81.1,2474,85.6,91.4,55.6,3,6,7,0,14,17,1.12,0,0.00,11,7,9,7,5,1,4,2,362,16,59,161,145,50,32,14,17,210,499,19,9,14,34,25,256,64,16,12,7,3,34,8,28,22.2,€18.6M,66.2/73.8
43,Cameron Burgess,AUS,Ipswich Town,DF,30,17,15,1451.0,0,2,0,0,0.7,0.5,2,41,4,0.00,0.12,0.04,0.03,,,,,11.1,0.06,0.00,9.7,590,80.9,10830,90.9,87.0,50.8,7,45,4,0,41,13,0.81,3,0.19,15,10,9,2,18,13,5,14,919,221,562,312,47,23,0,0,0,416,990,2,4,0,3,0,539,4,5,4,1,0,40,43,22,66.2,€1.7M,61.7/62.8
44,Carlos Baleba,CMR,Brighton,MF,21,31,28,2403.0,3,1,8,1,3.0,1.3,40,111,27,0.11,0.04,0.11,0.05,,,,,26.8,0.41,0.07,25.3,1048,87.2,17638,92.6,91.7,62.3,20,103,22,2,111,60,2.25,4,0.15,71,41,72,28,44,10,34,40,1556,88,375,917,303,12,52,31,18,885,2588,40,40,3,37,37,944,27,38,44,0,8,176,38,24,61.3,€52.4M,73.7/87.5
